REGION,Key,Area,CENSUS_2010_TOTAL_POPULATION,CENSUS_2010_STATE_DENSITY,CENSUS_2010_RANK,2020_STATE_DENSITY,STATE_LAND_AREA,Major_City_CBSA_Title,CBSA Code,CBSA_Major_City_Population_2010,CBSA_Major_City_max_weighted_density,CBSA_Major_City_mean_pop_density,Covid_Positive_3_31,Covid_Negative_3_31,Covid_Pending_3_31,Covid_Hospitalized_3_31,Covid_Death_3_31,Covid_Positive_4_4,Data_Grade_4_4,Covid_Score_4_4,Covid_Negative,Covid_Pending_4_4,Covid_Hospitalized_Currently_4_4,Covid_Hospitalized_Cumulative_4_4,Covid_ICU_Currently_4_4,Covid_ICU_Cumulative_4_4,Covid_Ventilator_Currently_4_4,Covid_Ventilator_Cumulative_4_4,Covid_Recovered,Covid_Death_4_4,Covid_Hospitalized_4_4,Covid_Total_Test_Results,Covid_posNeg_4_4,fips,FLUVIEW_TOTAL_INFLUENZA_DEATHS_Season_2018,FLUVIEW_TOTAL_PNEUMONIA_DEATHS_Season_2018,Kaiser_Total_Hospital_Beds,Kaiser_Beds_per_1000_Population,Kaiser_Total_CHCs,Kaiser_CHC_Service_Delivery_Sites,BRFSS_Asthma_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Asthma,BRFSS_Age_55_64_Asthma_Rate,BRFSS_Age_65_plus_Asthma_Rate,BRFSS_COPD_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Lung_Disease,BRFSS_Age_55_64_COPD_Rate,BRFSS_Age_65_plus_COPD_Rate,BRFSS_Heart_Disease_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Heart_Disease,BRFSS_Age_55_64_Heart_Disease_Rate,BRFSS_Age_65_plus_Heart_Disease_Rate,BRFSS_2017_High_Cholestoral_Prevalance,BRFSS_2017_High_Blood_Pressure_Prevalance,BRFSS_Diabetes_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Metabolic_Disorders,BRFSS_Age_55_64_Diabetes_Rate,BRFSS_Age_65_plus_Diabetes_Rate,BRFSS_Obesity BMI Prevalance,Fluview_US_FLU_Hospitalization_Rate_Obesity,BRFSS_Age_55_64_Obesity_Rate,BRFSS_Age_65_plus_Obesity_Rate,BRFSS_Kidney_Disease_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Kidney_Disease,BRFSS_Age_55_64_Kidney_Disease_Rate,BRFSS_Age_65_plus__Kidney_Disease_Rate,BRFSS_Other_Cancer_Prevalance,BRFSS_55_64_Other_Cancer_Rate,BRFSS_65_plus_Other_Cancer_Rate,Census_Population_Over_60,Census_Population_Over_60_Employment_Rate,Census_Total_Population_Over_16_Estimate,Census_Total_Workers_Over_16_Estimate,COMMUTE_Census_Worker_Drive_To_Work_Rate,COMMUTE_Census_Worker_Carpool_To_Work_Rate,COMMUTE_Census_Worker_Public_Transportation_Rate,COMMUTE_Census_Worker_Walk_Rate,COMMUTE_Census_Worker_Taxicab_Motorcycle_Bicycle_Other_Rate,COMMUTE_Census_Work_At_Home_Rate,HOUSEHOLD_UNITS,UNITS_IN_STRUCTURE_5_to_9_apartments,UNITS_IN_STRUCTURE_10_or_more_apartments,OCCUPANTS_PER_ROOM_1.0_To_1.50,OCCUPANTS_PER_ROOM_1.51_Plus,FAMILY_HOUSEHOLDS_Householder_65_Plus,NONFAMILY_Householder_Living_Alone_65_Plus,INDUSTRY_Agriculture_Forestry_Fishing_Hunting,INDUSTRY_Construction,INDUSTRY_Manufacturing,INDUSTRY_Wholesale_Trade,INDUSTRY_Retail_Trade,INDUSTRY_Transportation_Warehousing,INDUSTRY_Professional_Scientific_Technical,INDUSTRY_Management_Companies_Enterprises,INDUSTRY_Administrative_Support _Waste_Management,INDUSTRY_Educational_Services,INDUSTRY_Health_Care_Social_Assistance,INDUSTRY_Arts_Entertainment_Recreation,INDUSTRY_Accommodation_Food_Services,Occupation_Total_Management_Business_Science_Arts,Occupation_Total_Management_Business_Financial,OCCUPATION_Management,OCCUPATION_Business _Financial_Operations,Occupation_Total_Computer_Engineering_Science,OCCUPATION_Computer_Mathematical,OCCUPATION_Architecture_Engineering,OCCUPATION_Life_Physical_Social_Science,Occupation_Total_Education_Legal_Community_Service_Arts_Media,OCCUPATION_Community_Social Service,OCCUPATION_Legal,OCCUPATION_Educational_Instruction_Library,OCCUPATION_Arts_Design_Entertainment_Sports_Media,Occupation_Total_Healthcare_Practitioners_Technical,OCCUPATION_Health_Diagnosing_Treating_Practitioners_Other_Technical,OCCUPATION_Health_Technologists,Occupation_Total_Service,OCCUPATION_Healthcare_Support,Occupation_Total_Protective_Service,OCCUPATION_Firefighter_Other Protective Service,OCCUPATION_Law_Enforcement,OCCUPATION_Food_Preparation_Service,OCCUPATION_Building_Grounds_Cleaning _Maintenance,OCCUPATION_Personal care_Service,Occupation_Total_Sales_Office,OCCUPATION_Sales,OCCUPATION_Office,Occupation_Total_Natural_Resources_Construction_Maintenance,OCCUPATION_Farming_Fishing_Forestry,OCCUPATION_Construction_Extraction,OCCUPATION_Installation_Maintenance_Repair,Occupation_Total_Production_Transportation_Material_Moving,OCCUPATION_Production,OCCUPATION_Transportation,OCCUPATION_Material_Moving
North Dakota,35,Midwest,672591,9.7,49,11,69001,"Fargo, ND-MN Metro Area",22020,208777,2770.1,2205.5,126,4131,NA,21,3,186,B,3,6021,NA,NA,30,NA,NA,NA,NA,63,3,30,6207,6207,38,20,460,3235,4.27,4,26,0.082,0.194,0.007052,0.00656,0.051,0.295,0.003876,0.005253,0.043,0.513,0.002752,0.005805,0.311,0.295,0.094,0.448,0.014382,0.020962,0.351,0.361,0.130923,0.120393,0.025,0.216,7.00E-04,0.00195,0.067,0.006231,0.011859,162220,0.32,585782,392429,0.82,0.09,0.01,0.03,0.01,0.04,319355,11661,63442,4977,1724,32293,35028,23104,24743,27951,13127,45560,17241,16857,458,8473,37356,69462,6818,23464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,36,Midwest,11536504,282.3,12,288,40861,"Cleveland-Elyria-Mentor, OH Metro Area",17460,2077240,3808.4,2132.976923,2199,26992,NA,585,55,3739,B,3,38132,NA,NA,1006,NA,326,NA,NA,NA,102,1006,41871,41871,39,284,6088,33157,2.84,47,304,0.095,0.194,0.008265,0.00874,0.085,0.295,0.010115,0.01326,0.05,0.513,0.00335,0.00685,0.334,0.347,0.122,0.448,0.022814,0.030256,0.34,0.361,0.13328,0.11118,0.029,0.216,0.000928,0.001943,0.072,0.007128,0.012312,2792679,0.28,9237632,5515839,0.82,0.08,0.02,0.02,0.01,0.04,4685447,216505,450549,51271,14744,539235,563134,40279,311464,847686,144410,642851,256711,321398,10022,220409,487203,874783,95156,417067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,37,South,3751351,54.7,37,58,68595,"Oklahoma City, OK Metro Area",36420,1252987,2568.8,2126.433333,565,1229,NA,177,23,1159,B,3,1362,NA,NA,316,NA,NA,NA,NA,NA,42,316,2521,2521,40,135,3256,11144,2.83,20,99,0.103,0.194,0.010712,0.008961,0.085,0.295,0.012155,0.01258,0.058,0.513,0.00493,0.008758,0.37,0.377,0.125,0.448,0.026125,0.032,0.348,0.361,0.13746,0.102312,0.029,0.216,0.001218,0.001943,0.072,0.007128,0.012456,857599,0.28,3008712,1758388,0.83,0.1,0,0.02,0.01,0.04,1485310,54039,108758,27804,10012,170881,166592,26226,122588,174633,42288,208426,76839,92545,2826,62863,160304,236670,45145,133149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,38,West,3831074,39.9,41,45,95988,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",38900,2226009,4372.6,2644.166667,690,13136,NA,154,18,899,A,4,16535,NA,NA,204,NA,NA,38,40,NA,22,204,17434,17434,41,200,1645,6889,1.65,30,232,0.116,0.194,0.01276,0.011368,0.069,0.295,0.005589,0.009108,0.05,0.513,0.0027,0.0062,0.321,0.301,0.11,0.448,0.01925,0.02068,0.299,0.361,0.107042,0.083421,0.029,0.216,0.001189,0.001769,0.079,0.008374,0.013746,1016180,0.25,3379241,1992019,0.72,0.1,0.04,0.04,0.03,0.08,1639970,75638,214766,40676,19220,204398,194825,62170,135580,229085,52769,229445,75568,144160,4880,86147,168851,291542,44673,157751,808107,321616,217403,104213,140699,70693,47319,22687,224213,41192,19679,111267,52075,121579,83348,38231,365744,79395,35421,22009,13412,128635,68670,53623,412851,185653,227198,188716,36200,96852,55664,253603,111132,66821,75650
Pennsylvania,39,Northeast,12702379,283.9,11,287,44743,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",37980,5965343,7773.2,3170.7,4843,37645,NA,514,63,10017,A,4,60013,NA,NA,1004,NA,NA,NA,NA,NA,136,1004,70030,70030,42,361,7044,36730,2.87,43,306,0.1,0.194,0.0115,0.0088,0.071,0.295,0.00781,0.009727,0.049,0.513,0.002744,0.006272,0.33,0.326,0.113,0.448,0.018419,0.024182,0.309,0.361,0.107223,0.087447,0.032,0.216,0.001376,0.00192,0.073,0.00657,0.012702,3227151,0.29,10271420,6129917,0.76,0.09,0.06,0.04,0.02,0.05,5070931,160708,452726,48214,22250,632057,650681,54560,368589,733387,162839,704752,298688,417541,10021,235990,583147,1028136,123262,393631,2420543,945276,592982,352294,359781,183542,112963,63276,664980,127246,67054,365068,105612,450506,302558,147948,1083155,236048,126527,66130,60397,337307,215702,167571,1318028,586125,731903,503752,27371,283713,192668,923467,381848,251989,289630
Rhode Island,40,Northeast,1052567,1018.1,4,1021,1034,"Providence-New Bedford-Fall River, RI-MA Metro Area",39300,1600852,4763.7,4763.7,488,3476,NA,59,8,806,B,3,5584,NA,93,93,31,31,6,6,35,17,93,6390,6390,44,46,622,2187,2.07,8,52,0.119,0.194,0.014399,0.013447,0.069,0.295,0.007245,0.008832,0.039,0.513,0.00195,0.00429,0.33,0.331,0.109,0.448,0.019838,0.024198,0.277,0.361,0.091687,0.073682,0.024,0.216,0.000552,0.001392,0.073,0.005986,0.013797,257992,0.31,865601,515707,0.82,0.08,0.02,0.03,0.01,0.04,1179637,46939,99128,22378,7079,151631,166543,12647,56193,91250,22946,133398,27532,41581,532,58946,106388,124648,12066,87875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,41,South,4625364,153.9,22,173,30061,"Charleston-North Charleston-Summerville, SC Metro Area",16700,664607,1926,1038.055556,1083,4616,NA,259,22,1917,B,3,16397,NA,NA,241,NA,NA,NA,NA,NA,40,241,18314,18314,45,138,2885,12120,2.38,23,200,0.091,0.194,0.009828,0.006916,0.082,0.295,0.010496,0.01148,0.049,0.513,0.003479,0.005782,0.367,0.381,0.133,0.448,0.027664,0.034048,0.343,0.361,0.125881,0.108045,0.032,0.216,0.001504,0.001952,0.076,0.007372,0.013452,1228275,0.25,4012850,2268973,0.82,0.1,0.01,0.01,0.02,0.05,406573,17516,51310,5070,1650,43736,54937,2801,28801,57469,11487,61476,19965,32511,597,22281,59354,84460,15919,41578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,42,Midwest,814180,10.7,48,12,75811,"Sioux Falls, SD Metro Area",43620,228261,2215,1692.9,108,3609,0,12,1,212,A,4,5012,1,NA,19,NA,NA,NA,NA,76,2,19,5224,5224,46,39,627,4183,4.76,4,48,0.079,0.194,0.006241,0.00553,0.046,0.295,0.003358,0.004738,0.044,0.513,0.002464,0.005544,0.295,0.308,0.093,0.448,0.010416,0.019158,0.301,0.361,0.100534,0.095718,0.027,0.216,0.000891,0.001647,0.079,0.007189,0.017222,205307,0.35,673526,445146,0.81,0.09,0,0.03,0.01,0.06,1927991,74344,132738,25969,12868,254014,222484,16732,158238,310636,50458,274323,93467,130987,3567,107621,202920,305788,39192,195849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee,43,South,6346105,153.9,21,167,41235,"Memphis, TN-MS-AR Metro Area",32820,1316100,2372.3,1151.14,2239,25121,NA,175,23,3321,A,4,38070,NA,NA,311,NA,NA,NA,NA,416,43,311,41391,41391,47,165,4521,19387,2.86,29,207,0.098,0.194,0.012838,0.009604,0.106,0.295,0.019504,0.01749,0.057,0.513,0.0057,0.007353,0.365,0.387,0.138,0.448,0.031188,0.038778,0.344,0.361,0.134848,0.105608,0.039,0.216,0.002457,0.002964,0.076,0.007676,0.013224,1550510,0.27,5330967,3076837,0.83,0.09,0.01,0.01,0.01,0.05,345449,13175,36592,5057,2459,43204,38909,26746,31755,45924,13114,51461,15173,18425,345,11449,38149,74784,9367,29517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas,44,South,25145561,96.3,28,113,261232,"Laredo, TX Metro Area",29700,250304,5300.1,2485.108,3266,39726,NA,196,41,6110,A,4,57641,NA,NA,196,NA,NA,NA,NA,38,105,196,63751,63751,48,448,12967,65671,2.29,72,537,0.074,0.194,0.00555,0.005698,0.062,0.295,0.004216,0.009362,0.038,0.513,0.002736,0.003572,0.33,0.325,0.126,0.448,0.02772,0.03717,0.348,0.361,0.131196,0.122844,0.037,0.216,0.001554,0.0037,0.051,0.003417,0.007497,5139025,0.3,21663694,13256665,0.81,0.1,0.01,0.01,0.02,0.05,2603140,112276,212529,35927,14922,306615,280975,22058,204744,412442,74261,363023,182901,168188,7919,145289,255047,447018,51688,252621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah,45,West,2763885,33.6,43,40,82170,"Salt Lake City, UT Metro Area",41620,1124197,4563.5,2945.22,887,17626,NA,73,5,1428,A,4,26615,NA,NA,117,NA,NA,NA,NA,NA,8,117,28043,28043,49,63,1022,5767,1.83,13,60,0.093,0.194,0.009672,0.009021,0.042,0.295,0.002352,0.003738,0.024,0.513,0.000888,0.00204,0.286,0.245,0.084,0.448,0.013356,0.017556,0.278,0.361,0.091184,0.081176,0.026,0.216,0.000988,0.001638,0.061,0.0061,0.011285,499149,0.3,2305534,1510473,0.76,0.11,0.02,0.02,0.02,0.07,9776083,463878,1439685,330718,127044,975018,818397,107486,1188835,1126931,359631,1530829,702638,926538,23139,616788,1283010,1619124,209264,1054207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vermont,46,Northeast,625741,67.9,32,68,9217,"Burlington-South Burlington, VT Metro Area",15540,211261,2053.9,2053.9,293,3957,NA,36,13,461,A,4,5383,NA,29,45,NA,NA,NA,NA,15,20,45,5844,5844,50,35,291,1305,2.09,11,72,0.12,0.194,0.01452,0.01176,0.062,0.295,0.005518,0.008184,0.036,0.513,0.00144,0.003492,0.304,0.304,0.092,0.448,0.01288,0.01656,0.275,0.361,0.085525,0.070125,0.02,0.216,0.00048,0.00086,0.075,0.00735,0.013125,172909,0.36,519162,323581,0.75,0.09,0.01,0.05,0.02,0.08,998891,34204,111097,29204,8906,113469,72310,11492,116509,153370,33559,178581,62564,120102,2455,74526,170261,173802,34633,99476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,47,South,8001024,202.6,16,218,39490,"Richmond, VA Metro Area",40060,1258251,2175.7,1445.8875,1250,12151,NA,165,27,2407,A,4,19145,NA,NA,390,NA,145,NA,108,NA,52,390,21552,21552,51,181,3334,18065,2.12,26,166,0.085,0.194,0.007905,0.006035,0.064,0.295,0.006272,0.008,0.038,0.513,0.001938,0.004332,0.347,0.324,0.105,0.448,0.01722,0.024465,0.304,0.361,0.107008,0.088768,0.03,0.216,0.00105,0.00216,0.069,0.00552,0.013179,1847250,0.31,6642133,4103126,0.77,0.09,0.05,0.02,0.02,0.06,261373,11550,16895,1383,2455,35629,33924,8496,22391,32226,6595,39077,7985,19010,352,11202,45185,52792,10389,22851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,48,West,6724540,101.2,27,117,66456,"Seattle-Tacoma-Bellevue, WA Metro Area",42660,3439809,4721.6,2229.91,4896,60566,NA,254,195,6966,A,4,75633,NA,NA,NA,NA,NA,NA,NA,NA,284,NA,82599,82599,53,292,3252,12774,1.7,27,349,0.096,0.194,0.010368,0.009504,0.051,0.295,0.004233,0.005457,0.038,0.513,0.001976,0.004256,0.318,0.295,0.099,0.448,0.017226,0.020196,0.287,0.361,0.095284,0.077203,0.027,0.216,0.001161,0.001782,0.071,0.0071,0.012567,1636420,0.28,5946027,3609979,0.71,0.1,0.07,0.04,0.02,0.07,3175524,150183,430370,46669,18615,350697,340359,30528,286162,294616,70856,423982,160249,479780,6032,167837,415971,507937,81620,290596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia,49,South,1852994,77.1,31,74,24038,"Morgantown, WV Metro Area",34060,129709,2034.2,1211.266667,162,3981,NA,1,1,282,B,3,7404,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7686,7686,54,65,1584,6868,3.81,27,342,0.123,0.194,0.018327,0.013653,0.153,0.295,0.032742,0.035496,0.083,0.513,0.008051,0.015604,0.397,0.435,0.162,0.448,0.040338,0.04455,0.395,0.361,0.16985,0.1343,0.046,0.216,0.003542,0.003818,0.08,0.00752,0.01368,492418,0.21,1459045,726374,0.83,0.09,0.01,0.03,0.01,0.03,2895575,129494,466469,66485,32980,329464,296294,91873,255141,350875,92909,421357,174246,353620,5960,144910,304346,492903,94166,258840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,50,Midwest,5686986,105,25,108,54158,"Milwaukee-Waukesha-West Allis, WI Metro Area",33340,1555908,5257.6,2330.25,1351,17375,NA,337,16,2112,A,4,23859,NA,NA,588,NA,NA,NA,NA,NA,56,588,25971,25971,55,126,2675,12103,2.08,17,143,0.09,0.194,0.00846,0.00648,0.053,0.295,0.004452,0.0053,0.038,0.513,0.001558,0.00437,0.345,0.308,0.087,0.448,0.012006,0.016704,0.32,0.361,0.11552,0.09088,0.028,0.216,0.001232,0.001764,0.078,0.007332,0.016614,1391738,0.29,4621479,2952361,0.82,0.08,0.02,0.03,0.02,0.05,734703,21135,32711,9214,2585,100388,100039,6597,42290,60048,14925,95354,31542,35875,98,25069,71864,130333,14401,57205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,51,West,563626,5.8,51,6,97093,"Casper, WY Metro Area",16220,75450,2003.6,1910.65,109,1999,NA,17,0,187,A,4,2945,NA,NA,23,NA,NA,NA,NA,49,0,23,3132,3132,56,22,298,2015,3.49,6,14,0.087,0.194,0.00783,0.007482,0.064,0.295,0.006528,0.008576,0.037,0.513,0.001665,0.003663,0.308,0.308,0.088,0.448,0.013024,0.015136,0.29,0.361,0.0986,0.07656,0.024,0.216,0.000696,0.00132,0.07,0.00497,0.01141,137988,0.32,449840,280862,0.76,0.1,0.01,0.04,0.02,0.06,2371960,124523,268129,29826,10318,287306,276652,59814,177241,546621,75584,322856,123645,148790,4917,98431,253622,457142,55806,190174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
